drugmort,fips,state,county,aamort,chmort,infmort,physdistr,mentdistr,diabetic,hiv,foodins,healthyfood,mvmort,sleep,uninsure,chuninsure,healthcost,othpcp,disconyouth,houseincome,freelunch,segbw,segnww,homicide,firearm,under18,over65,aframer,amerindian,asian,hawaiin,hispanic,nonhispanicw,nonenglish,female,rural,lifelost,fairhealth,unhdays,mentunhdeays,lowbirth,smokers,obese,foodindex,physinactive,accessexercise,excdrinking,alcoholdrive,chlamydia,teenbirth,uninsureunder65,prevhospital,hba1c,mammogram,graduation,somecollege,laborforce,unemployed,chpoverty,chpovertyb,chpovertyhis,chpovertyw,80income,20income,singparent,socialassoc,violcrime,severehous,commute,new_pcp_ratio,new_mhp_ratio,new_othpcp_ratio,new_dent_ratio
10,1001,Alabama,Autauga,468,55,7,12,13,13,205,14,10,19,38,14,3,9859,23,12,56580,49,34,30,4,16,24.7,14.3,19,0.5,1.2,0.1,2.8,74.9,0.7,51.5,42,9158,18,4.2,4.2,9,17,34,6.9,29,71,15,33,398,32,11,59,84,62.7,90,59.7,25308,5.2,19,43,48,11,97896,22695,25,13.7,266,15,43,2408,7907,4257,3256
17,1003,Alabama,Baldwin,361,48,6,12,12,10,169,14,5,15,33,20,5,9413,37,16,52387,42,43,32,3,16,22,19.2,9.4,0.7,0.9,0.1,4.5,83,1.2,51.3,42.3,7394,16,3.7,4,9,18,27,7.5,22,72,15,34,341,38,16,48,83,66,85,62.9,87316,5.5,20,50,12,14,99839,22065,27,11.5,217,15,38,1352,1198,2680,2100
15,1007,Alabama,Bibb,521,105,12,13,13,15,120,16,2,22,41,17,4,10817,49,25,40767,63,42,41,8,21,20.8,15,22.1,0.4,0.2,0.1,2.4,74.1,0.4,46.1,68.4,11766,20,4.4,4.4,12,20,40,7.3,34,33,14,33,444,47,14,77,82,61.3,85,50.2,8490,6.6,29,61,48,18,78138,18287,30,10.2,147,14,47,2501,1980.5,2053,5646
21,1009,Alabama,Blount,445,44,6,13,13,14,96,12,1,21,36,21,6,10036,9,13,50487,53,50,32,6,18,23.2,17.5,1.7,0.7,0.3,0.1,9,87.4,1.7,50.6,90,9333,19,4.5,4.5,7,21,35,8.3,28,26,14,20,124,43,16,63,88,59.6,91,51.2,24352,5.4,22,20,57,21,83484,20679,27,8.5,212,12,60,5247,14418,11535,5243
13,1015,Alabama,Calhoun,550,70,8,14,14,15,198,18,10,15,39,18,3,10673,42,20,42091,61,50,45,9,21,22.1,16.3,20.9,0.5,0.9,0.1,3.6,72.6,0.8,51.8,33.7,10717,22,4.9,4.7,9,20,32,6.1,31,59,15,22,724,45,14,71,81,56.9,92,54,46051,7,31,59,40,21,79864,16369,40,14.7,574,15,30,1505,1123,2360,1807
14,1019,Alabama,Cherokee,523,61,8,13,14,13,137,15,0,28,34,18,4,10867,19,18.5,39144,62,25,16,6,21,20.2,21.6,4.7,0.6,0.3,0,1.5,91.3,0.1,50.3,85.7,12534,19,4.5,4.5,8,18,34,7.9,34,33,13,20,366,49,15,79,89,63.4,88,52.6,11197,5.4,30,41,48,29,76254,15777,32,10,384,15,45,3720,4310,5172,6465
15,1021,Alabama,Chilton,532,75,8,14,14,13,94,14,2,23,39,23,6,10205,41.5,20,42767,57,29,21,7,17,24.3,15.5,10.2,0.5,0.4,0.2,7.7,80.3,2.5,50.9,86.7,10678,21,4.7,4.5,9,20,36,7.8,30,32,14,29,403,57,18,52,89,64,86,40.2,19021,5.7,28,43,57,24,83220,18704,29,15.9,346,16,48,5491,2441,2394.5,3995
24,1029,Alabama,Cleburne,588,67.5,8,12,13,13,111,14,1,24,33,18,4,10906,20,23,42136,60,46,40,6,25,23.1,18.8,3.6,0.4,0.2,0.1,2.5,92.2,0.6,50.6,100,11803,17,4.1,4.3,9,18,30,7.9,30,40,15,28,213,54,14,72,83,49.5,98,48,5665,6,28,43.5,83,21,75993,16032,25,8.6,150,14,48,3770,2503,5006,7509
8,1031,Alabama,Coffee,387,56,8,13,13,16,164,16,7,15,35,19,5,9510,51,13,46858,47,37,27,6,13,23.7,16.2,17.4,1.4,1.6,0.4,6.7,70.8,1.7,50.4,47.2,7630,19,4.3,4.2,9,19,34,6.8,29,71,14,26,565,37,15,60,88,63.1,96,60.8,20310,5.9,24,44,32,19,98707,19466,37,15.9,321,14,23,1818,1970,1970,3012
7,1033,Alabama,Colbert,519,76,8,14,14,19,96,17,5,20,36,17,4,10731,103,15,41171,52,30,29,4,15,21.5,18.8,16.2,0.6,0.5,0.1,2.6,78.5,0.4,51.8,43.9,10253,20,4.5,4.4,10,20,38,6.8,31,44,13,8,468,47,13,72,87,68.1,89,56.6,23586,7.9,27,36,47,22,82048,17169,35,17.6,450,15,24,1604,3882,971,2471
10,1039,Alabama,Covington,508,51,10,14,14,15,145,17,3,20,36,20,4,10406,61,18,36355,59,50,43,6,10,22,20,13,0.7,0.5,0,1.6,82.8,0.7,51.8,69.7,9918,21,4.6,4.4,10,19,34,7.2,33,51,13,30,414,63,15,99,81,59.6,95,52.2,15456,7.1,34,58,8,26,73752,15997,37,12.7,273,15,25,1995,1991,1645,2910
25,1043,Alabama,Cullman,485,51,7,13,14,14,66,13,3,22,35,21,5,9916,65,16,39290,53,67,28,3,14,22.4,17.9,1.4,0.6,0.5,0.1,4.4,92,0.9,50.6,73.2,9937,21,4.5,4.4,9,18,33,7.8,26,38,13,26,319,53,16,51,89,65.4,91,54.6,36181,5.3,25,48,64,21,77324,16793,30,12.2,170,14,35,1890,872,1547,2103
12,1045,Alabama,Dale,436,46,6,14,14,14,304,18,10,17,41,18,4,10290,73,14,45294,62,32,27,8,14,23.4,15.7,19.7,0.8,1.4,0.2,6.3,69.4,1,50.7,50.9,8086,21,4.6,4.7,8,19,37,6.2,27,48,15,51,573,42,14,60,88,60,90,61.2,19758,6.4,29,52,35,16,83346,16240,35,12.3,363,13,26,4124,1340,1377,2916
8,1047,Alabama,Dallas,607,61,8,18,17,19,409,30,12,25,44,19,3,10113,32,31,29682,70,54,53,25,30,25.1,16.3,69.3,0.2,0.4,0,0.9,28.4,0.1,53.7,45.6,12928,28,5.5,5,13,23,41,3.4,31,59,10,61,850,61,14,61,78,63.9,90,47.3,15566,9.6,50,61,48,24,67258,9862,71,14.4,774,24,27,1438,2419,3164,3164
21,1049,Alabama,DeKalb,489,55,6,15,15,13,91,13,2,20,36,27,7,9995,39,21,37305,65,65,35,5,15,24.7,16,1.8,2.1,0.4,0.7,14.1,80.6,3.7,50.7,90.1,9642,22,5,4.7,9,22,30,8,30,40,13,33,276,53,21,64,88,58.2,92,41.6,28858,6,29,26,43,18,71947,15899,28,8.6,331,14,30,2369,5928,2540,3387
7,1051,Alabama,Elmore,432,78,8,12,13,13,215,15,7,22,34,15,4,9626,23,24,53548,52,27,27,7,16,22.8,14.4,21.1,0.4,0.7,0.1,2.8,73.4,0.9,51.4,54.2,8894,17,3.9,4.3,9,18,35,7.2,29,68,17,43,539,39,11,62,85,65.6,90,53.3,36075,5.1,20,36,39,15,99532,23676,32,10.4,276,12,47,3681,9052,4288,7406
31,1053,Alabama,Escambia,546,68,7,16,15,18,171,21,8,24,39,22,5,11302,32,32,36840,69,36,34,11,16,22.2,16.8,32.2,3.5,0.3,0.1,2.1,60.4,0.2,48.7,63.5,10392,25,5.2,4.8,10,21,38,5.8,32,56,12,49,503,63,17,105,79,64.4,84,39.6,14575,7,32,43,48,23,68728,12997,47,14.8,483,14,31,2516,2223,3149,2907
20,1055,Alabama,Etowah,545,78,12,14,14,17,171,17,9,16,40,19,4,11890,60,22,42145,61,65,59,6,15,21.9,17.7,15.5,0.6,0.8,0.3,3.7,78.2,1.4,51.7,37.5,11439,20,4.5,4.5,8,19,35,6.6,33,44,12,32,647,49,15,77,82,56,84,53.1,43203,6.1,31,56,52,23,78271,16809,38,16.2,544,14,27,1294,1085,1662,2061
23,1059,Alabama,Franklin,552,71,7,15,14,14,37,15,4,21,38,25,6,11381,35,21,38535,69,53,50,6,20,24.5,16.1,4,1.5,0.4,0.2,16.4,77.6,4.8,50,70.4,11550,23,4.7,4.7,9,20,33,7.4,35,59,13,27,314,56,20,95,85,56.7,93,40.3,13615,6.4,32,28,48,31,71599,16174,44,10.4,345,16,34,2107,15848,2881,3962
15,1069,Alabama,Houston,421,78,10,13,14,14,297,18,7,16,38,17,4,9997,107,20,43568,63,49,45,4,15,23.6,16.5,26.4,0.5,0.9,0.1,3.4,67.2,0.7,52.1,33.8,8558,20,4.3,4.5,10,20,33,6.4,26,53,13,18,751,49,13,52,87,65.1,93,57.2,44743,6.2,30,52,53,16,85709,17110,43,13,390,14,28,1120,854,938,1603
9,1071,Alabama,Jackson,543,96,10,14,14,15,69,15,4,30,35,20,4,10611,50,14,40201,60,47,27,4,20,21.5,19,3.5,1.6,0.5,0.1,2.9,89.2,0.5,50.8,77,11929,19,4.3,4.5,9,19,32,7.5,31,37,13,21,300,50,16,77,88,52.8,92,43.8,23512,6.6,27,68,71,22,74092,15725,29,9.1,361,9,37,1699,2383,2016,2912
22,1073,Alabama,Jefferson,485,90,11,12,13,13,623,20,11,16,41,16,3,9495,97,16,48415,47,66,62,15,21,23.1,14.6,42.7,0.3,1.6,0.1,3.8,50.6,1.4,52.8,9.8,10306,19,3.7,4,11,19,33,5.7,26,78,14,14,764,42,13,42,86,66.3,89,67.2,309229,5.8,26,42,49,10,97526,17684,43,14.7,797,18,32,939,744,1035,1203
6,1077,Alabama,Lauderdale,423,57,8,13,14,14,68,16,6,16,37,17,4,9360,67,11,43008,50,49,47,6,12,20.3,18.7,10.2,0.5,0.9,0.1,2.5,84.7,0.6,52.1,49.3,8773,18,4.2,4.5,10,18,33,7,28,63,14,31,429,29,14,64,87,65.6,95,58.6,42714,6.9,24,47,49,21,83734,17155,32,14.8,268,13,29,1900,798,1493,2013
11,1079,Alabama,Lawrence,542,64,8,14,14,16,84,15,2,30,36,20,5,10176,33,19,41771,62,67,34,6,17,21.6,17.4,11.1,5.8,0.2,0,2.2,76.4,0.2,51.3,91.3,10665,21,4.5,4.6,9,20,36,7.6,36,49,13,23,322,50,16,74,88,59.3,92,50.6,13864,7.7,26,25,48,24,82194,16984,38,14.3,264,12,49,4185,1068,3010,16558
8,1081,Alabama,Lee,423,67,6,14,14,10,175,18,11,12,38,17,4,8563,41,7,46442,47,30,29,6,14,21.5,10.6,23.5,0.4,3.4,0.1,3.9,67.5,1.6,50.8,27.4,7956,19,4.5,4.4,8,19,29,6,23,63,16,32,485,22,13,42,85,60.4,90,70.4,71548,5.1,21,43,42,15,94105,14865,35,8.9,275,19,27,2085,1402,2453,3413
4,1083,Alabama,Limestone,366,55,7,12,12,13,152,14,4,19,36,19,4,10140,39,21,55060,46,40,35,4,13,23.2,14.2,13.2,0.8,1.5,0.2,6.1,76.8,1.4,49.7,57.6,7195,18,4,4.1,10,18,33,7.7,31,53,14,28,290,34,14,64,88,66.8,93,55,39607,5.5,19,16,53,13,102717,20450,28,9.1,143,12,39,2929,2477,2546,3667
8,1089,Alabama,Madison,361,65,8,12,12,12,223,16,8,12,38,16,4,9793,79,12,59117,34,50,44,6,14,22.3,14.1,24.3,0.8,2.7,0.1,4.8,65.2,1.3,51.2,16.4,7532,16,3.8,3.8,10,17,32,6.9,23,82,14,21,611,28,13,47,88,68,92,72.6,169738,5.5,19,37,39,9,117677,23264,32,11,584,12,24,1137,898,1270,1829
